particle,t,xpos,ypos
0,0,0.5,0.5
0,2,0.5,0.5
1,0,0.5,0.5
1,2,0.5,0.5
2,0,0.5,0.5
2,2,0.5,0.5
3,0,0.5,0.5
3,2,0.5,0.5
4,0,0.5,0.5
4,2,0.5,0.5
5,0,0.5,0.5
5,2,0.5,0.5
6,0,0.5,0.5
6,2,0.5,0.5
7,0,0.5,0.5
7,2,0.5,0.5
8,0,0.5,0.5
8,2,0.5,0.5
9,0,0.5,0.5
9,2,0.5,0.5
10,0,0.5,0.5
10,2,0.5,0.5
11,0,0.5,0.5
11,2,0.5,0.5
12,0,0.5,0.5
12,2,0.5,0.5
13,0,0.5,0.5
13,2,0.5,0.5
14,0,0.5,0.5
14,2,0.5,0.5
15,0,0.5,0.5
15,2,0.5,0.5
16,0,0.5,0.5
16,2,0.5,0.5
17,0,0.5,0.5
17,2,0.5,0.5
18,0,0.5,0.5
18,2,0.5,0.5
19,0,0.5,0.5
19,2,1.5,0.5
20,0,1.5,0.5
20,2,1.5,0.5
21,0,1.5,0.5
21,2,1.5,0.5
22,0,1.5,0.5
22,2,1.5,0.5
23,0,1.5,0.5
23,2,1.5,0.5
24,0,1.5,0.5
24,2,1.5,0.5
25,0,1.5,0.5
25,2,1.5,0.5
26,0,1.5,0.5
26,2,1.5,0.5
27,0,1.5,0.5
27,2,1.5,0.5
28,0,1.5,0.5
28,2,1.5,0.5
29,0,1.5,0.5
29,2,1.5,0.5
30,0,1.5,0.5
30,2,1.5,0.5
31,0,1.5,0.5
31,2,1.5,0.5
32,0,1.5,0.5
32,2,1.5,0.5
33,0,1.5,0.5
33,2,1.5,0.5
34,0,1.5,0.5
34,2,1.5,0.5
35,0,1.5,0.5
35,2,1.5,0.5
36,0,1.5,0.5
36,2,1.5,0.5
37,0,1.5,0.5
37,2,1.5,0.5
38,0,1.5,0.5
38,2,1.5,0.5
39,0,1.5,0.5
39,2,2.5,0.5
40,0,2.5,0.5
40,2,2.5,0.5
41,0,2.5,0.5
41,2,2.5,0.5
42,0,2.5,0.5
42,2,2.5,0.5
43,0,2.5,0.5
43,2,2.5,0.5
44,0,2.5,0.5
44,2,2.5,0.5
45,0,2.5,0.5
45,2,2.5,0.5
46,0,2.5,0.5
46,2,2.5,0.5
47,0,2.5,0.5
47,2,2.5,0.5
48,0,2.5,0.5
48,2,2.5,0.5
49,0,2.5,0.5
49,2,2.5,0.5
50,0,2.5,0.5
50,2,2.5,0.5
51,0,2.5,0.5
51,2,2.5,0.5
52,0,2.5,0.5
52,2,2.5,0.5
53,0,2.5,0.5
53,2,2.5,0.5
54,0,2.5,0.5
54,2,2.5,0.5
55,0,2.5,0.5
55,2,2.5,0.5
56,0,2.5,0.5
56,2,2.5,0.5
57,0,2.5,0.5
57,2,2.5,0.5
58,0,2.5,0.5
58,2,2.5,0.5
59,0,2.5,0.5
59,2,3.5,0.5
60,0,3.5,0.5
60,2,3.5,0.5
61,0,3.5,0.5
61,2,3.5,0.5
62,0,3.5,0.5
62,2,3.5,0.5
63,0,3.5,0.5
63,2,3.5,0.5
64,0,3.5,0.5
64,2,3.5,0.5
65,0,3.5,0.5
65,2,3.5,0.5
66,0,3.5,0.5
66,2,3.5,0.5
67,0,3.5,0.5
67,2,3.5,0.5
68,0,3.5,0.5
68,2,3.5,0.5
69,0,3.5,0.5
69,2,3.5,0.5
70,0,3.5,0.5
70,2,3.5,0.5
71,0,3.5,0.5
71,2,3.5,0.5
72,0,3.5,0.5
72,2,3.5,0.5
73,0,3.5,0.5
73,2,3.5,0.5
74,0,3.5,0.5
74,2,3.5,0.5
75,0,3.5,0.5
75,2,3.5,0.5
76,0,3.5,0.5
76,2,3.5,0.5
77,0,3.5,0.5
77,2,3.5,0.5
78,0,3.5,0.5
78,2,3.5,0.5
79,0,3.5,0.5
79,2,4.5,0.5
80,0,4.5,0.5
80,2,4.5,0.5
81,0,4.5,0.5
81,2,4.5,0.5
82,0,4.5,0.5
82,2,4.5,0.5
83,0,4.5,0.5
83,2,4.5,0.5
84,0,4.5,0.5
84,2,4.5,0.5
85,0,4.5,0.5
85,2,4.5,0.5
86,0,4.5,0.5
86,2,4.5,0.5
87,0,4.5,0.5
87,2,4.5,0.5
88,0,4.5,0.5
88,2,4.5,0.5
89,0,4.5,0.5
89,2,4.5,0.5
90,0,4.5,0.5
90,2,4.5,0.5
91,0,4.5,0.5
91,2,4.5,0.5
92,0,4.5,0.5
92,2,4.5,0.5
93,0,4.5,0.5
93,2,4.5,0.5
94,0,4.5,0.5
94,2,4.5,0.5
95,0,4.5,0.5
95,2,4.5,0.5
96,0,4.5,0.5
96,2,4.5,0.5
97,0,4.5,0.5
97,2,4.5,0.5
98,0,4.5,0.5
98,2,4.5,0.5
99,0,4.5,0.5
99,2,5.5,0.5
100,0,5.5,0.5
100,2,5.5,0.5
101,0,5.5,0.5
101,2,5.5,0.5
102,0,5.5,0.5
102,2,5.5,0.5
103,0,5.5,0.5
103,2,5.5,0.5
104,0,5.5,0.5
104,2,5.5,0.5
105,0,5.5,0.5
105,2,5.5,0.5
106,0,5.5,0.5
106,2,5.5,0.5
107,0,5.5,0.5
107,2,5.5,0.5
108,0,5.5,0.5
108,2,5.5,0.5
109,0,5.5,0.5
109,2,5.5,0.5
110,0,5.5,0.5
110,2,5.5,0.5
111,0,5.5,0.5
111,2,5.5,0.5
112,0,5.5,0.5
112,2,5.5,0.5
113,0,5.5,0.5
113,2,5.5,0.5
114,0,5.5,0.5
114,2,5.5,0.5
115,0,5.5,0.5
115,2,5.5,0.5
116,0,5.5,0.5
116,2,5.5,0.5
117,0,5.5,0.5
117,2,5.5,0.5
118,0,5.5,0.5
118,2,5.5,0.5
119,0,5.5,0.5
119,2,6.5,0.5
120,0,6.5,0.5
120,2,6.5,0.5
121,0,6.5,0.5
121,2,6.5,0.5
122,0,6.5,0.5
122,2,6.5,0.5
123,0,6.5,0.5
123,2,6.5,0.5
124,0,6.5,0.5
124,2,6.5,0.5
125,0,6.5,0.5
125,2,6.5,0.5
126,0,6.5,0.5
126,2,6.5,0.5
127,0,6.5,0.5
127,2,6.5,0.5
128,0,6.5,0.5
128,2,6.5,0.5
129,0,6.5,0.5
129,2,6.5,0.5
130,0,6.5,0.5
130,2,6.5,0.5
131,0,6.5,0.5
131,2,6.5,0.5
132,0,6.5,0.5
132,2,6.5,0.5
133,0,6.5,0.5
133,2,6.5,0.5
134,0,6.5,0.5
134,2,6.5,0.5
135,0,6.5,0.5
135,2,6.5,0.5
136,0,6.5,0.5
136,2,6.5,0.5
137,0,6.5,0.5
137,2,6.5,0.5
138,0,6.5,0.5
138,2,6.5,0.5
139,0,6.5,0.5
139,2,7.5,0.5
140,0,7.5,0.5
140,2,7.5,0.5
141,0,7.5,0.5
141,2,7.5,0.5
142,0,7.5,0.5
142,2,7.5,0.5
143,0,7.5,0.5
143,2,7.5,0.5
144,0,7.5,0.5
144,2,7.5,0.5
145,0,7.5,0.5
145,2,7.5,0.5
146,0,7.5,0.5
146,2,7.5,0.5
